BP_Author full name,BP_Author last name first,BP_Brief Summary of the Work,BP_Description_1,BP_Title,BP_Date Published,BP_Edition Number,BP_Provenance,BP_Publication Place,BP_Collation/Pagination/Foliation,BP_BibliographicNotes
,"Doblhoff, A. V.",Theory,A German text on drainage systems.,"Über die drainage, ein beitrag.",1851,0,,Leipzig,"Blue boards, library stamps on cover and spine, ownership stamps on cover page, 14x21 cm, 36 pp.",
,"Commissioners of sewers, Lincoln, .",Sewer operations,,"An inquisition taken before the commissioners of sewers for the County of Lincoln on the second day of July, in the twenty-fifth year of thr reign of Queen Elizabeth",1851,0,,Lincoln,"Quarter leather, paper on boards, 16 x 19 cm, [half title, pasted on leaf][title],16 pgs","Creast embossed, gilt, on front paste down. Reprint of 1583 scroll"
,"Cormick, W.F.",Hamilton,,Letter W. F. Cormick to L. J. Humphrey,1851,0,,Hamilton Canada West,manuscript 20x25 cm folio,
,"Brunel, Marc Isambard",Thames tunnel,A booklet detailing a plan for a twinned tunnel under the Thames River between Wapping and Rotherhithe.,La tonnelle de la tamise,1851,0,,London,"Brown heavy wrap, illustration on front cover, ownership sticker inside front cover, 13.5x10.5 cm, 2 folding plates, 1 folding map, 7 plates, 26 pp.",
,"Coale, James",Chesapeake and Ohio Canal,,"Report to the stockholders on the completion of the Chesapeake & Ohio Canal to Cumberland, with a sketch of the Potomac Company, and a general outline of the history, etc",1851,0,,,"Disbound, 14 x 23 cm, 157 pgs",
,"Great Britain, Government of",Intercolonial,Correspondance related to the Intercolonial Railway,Further Correspondance relative to the Projected Railway from Halifax to Quebec,1851,0,,Intercolonial Railway,"Printed wraps, 21 x 33 cm, 31 pgs",
,"Great Britain, Government of",Sewer Design,"An Act to continue ""The City of London Sewers Act, 1848,"" and to alter and amend the Provisions of the said Act.",City of london sewers act 1851.,1851,0,,London,"Tan cloth wrap cover, spine is worn, reinforced edges, Pages uncut at top, 20x32.5 cm, 17 pp., bound with: City of London Sewers Act 1848.",Box 8
Bazalgette,"Great Britain, Government of",Sewer Design,"Returns of the names of the present commissioners of metropolitan sewers, the date their appointment, the number of courts held, and names of commissioners attending such courts; of the number of courts, and the dates thereof.",Metropolitan commission of sewers.,1851,0,,London,"Plain wrap cover, reduced version of cover on back, 21.5x34.5 cm, 26 pp.",Box 8
,"Ellet, Charles, Jr.",Suspension Bridge over the Potomac,A report reccommending and present ing plans for a suspension bridge to span the Potomac River.,"Report on a suspension bridge across the Potomac, for rail road and common travel addressed to the mayor and city council of Georgetown, D.C.",1852,0,,"Georgetown, D.C.","Brown printed wraps in red folder, brown ribbon, ex-libris inside boards, 17x25.5, 4 plates, 36 pp.",
,"Beardmore, Nathaniel",Hydraulics,,"Hydraulic Tables, to aid the calculation of Water and Mill Power, Water Supply, and Drainage of Towns and Improvement of Navigable Rivers; etc, Tide Tables for 1852, 1853, 1854; Tidal Constants; with various Phenomena of Tidal Rivers",1852,0,,NA,"Blue cloth, 13 x 21 cm, title, errata, dedication, cxv, 7 folding plates, 92 pgs",
,"Great Britain, Government of",Industry,,"Exhibition of the works of industry of all nations, 1851; Reports by the Juries on the subjects in the thirty classes into which the exhibition was divided",1852,0,,London,"Red cloth, 19 x 27 cm, [title][printer note][preface][list][contents 2 pps], cxx, 867, 15 pgs",
Charles Ellet,"Ellet, Charles, Jr.",Potomac Suspension bridge,,"Report on a suspension bridge across the Potomac, for rail road and common trail: addressed to the Mayor and City Council of Georgetown, D.C.",1852,0,,Potomac River,"Half leather, paper on boards, 18 x 25 cm, folding frontis of bridge, [title], 36 pgs, 3 plates in text",Repairs to folding frontis and title page
,Various,Royal Engineers,A compilation of articles related to works carried out by the Corps of Royal Engineers.,"Papers on subjects connected with the duties of the corps of Royal Engineers. contruibuted by members of the royal and east india company's engineers, and edited by a committee of Royal Engineers. New series vol. ii.",1852,0,,London,"Green cloth boards, gilted stamping, script and library stamp inside cover, errata, 17x26 cm, illustrated, 52 plates, 72 pp. catalogue tipped in, 138 pp.",
"Landmann, George Thomas","Landmann, George Thomas",General survey,,"Adventures and Recollections of Colonel Landmann, vol 1",1852,0,,NA,"Burgendy cloth, 2 volumes, 20 x 13 cm, vol 1, vii, 328",
"Landmann, George Thomas","Landmann, George Thomas",General survey,,"Adventures and Recollections of Colonel Landmann, vol 2",1852,0,,Canada,"Burgendy cloth, 2 volumes, 20 x 13 cm, vol 2, vii, 347",
,See publisher,History,An account of the opening of railway lines from Boston to Canada and elsewhere.,"An account of the celebration commemorative of the opening of railroad communication between boston and canada, september 17th, 18th, and 19th, 1851",1852,0,,Boston,"Brown cloth boards, gold stamp on front cover and spine, new spine (icludes pieces of original), 15.5x24.5 cm, 1 folding map, 288 pp.",Published by Railroad Jubilee Committe of Council
"Merritt, Wm. Hamilton, George Keefer","Merritt, Wm. Hamilton",Welland Canal,A review of the history and state of the Welland Canal.,"Brief review of the origin, progress, present state, and future prospects of the welland canal.",1852,0,,St. Catherines,"New marbled boards, with original wrap, book plate inside cover, extra pages at back cover, 17x21.5 cm, 48 pp.",See #C52.
"Merritt, Wm. Hamilton, George Keefer","Merritt, Wm. Hamilton",Welland Canal,A review of the history and state of the Welland Canal.,"Brief review of the origin, progress, present state, and future prospects of the welland canal.",1852,0,,St. Catherines,"New marbled boards, with original wrap, book plate inside cover, extra pages at back cover, 17x21.5 cm, 48 pp.",See #C52.
,Bishop of Rupert's Land,Red River,Bishop Anderson's descriptive account and daily diary of the great flood of the Red River at the Red River Settlement (Winnipeg) in 1852.,Notes of the flood at the red river 1852,1852,1st,,Red River,"Original publisher's blind stamped black cloth, rebacked, script and sticker on front end paper, 11.5x18 cm, 1 plate, 124 pp.",
,"Serrel, Edward-William",Quebec Bridge,Report on the building of a suspension railway bridge to cross the St. Lawrence River at quebec.,"Rapport sur un pont suspendu projete pour le passage d'un chemin de fer et pour le la traverse du fleuve saint-laurent, a quebec, fait a son honneur le marie et au cinsoeil de ville de quebec",1852,0,,Quebec City,"Original yellow printed wraps, title-page reproduced in frame to front cover, sewn binding, errata, 23x14.5 cm 1 illustration, tables, 70+ pp.",
,"Tremenheere, Hugh Seymour",Public Works,,"Notes on Public Subjects, made during a tour in the United States and in Canada",1852,0,,Canada,"Green cloth, 13.5 x 20 cm, vi, [half title], 320 pgs, 1 folding map, advertisement, 32 pgs",
,"Scott, Michael",Swansea,"A report on the construction of a water supply system for the town of Swansea, England.",Report of the supply of water to the town of Swansea,1852,0,,London,"Brown cloth boards, gilted stamp on spine, top of pages uncut, 17x26.5 cm, 1 folding map, 4 folding tables, 118 pp.",
,"Merritt, Wm. Hamilton",Welland Canal,A review of the construction of the Wetland Canal with financials and projections for the future of the canal.,"Brief review of the origin, progress, present state, and future prospects of the Welland Canal.",1852,0,,"Welland, Ontario","Blue wraps, back cover missing, 14x20.5 cm, 48 pp.",
,"New York, State Engineer and Surveyor",New York State Canal,The annual report of the State Engineer and Surveyor on the canals of New York State for 1852.,"Annual report of the State Engineer and Surveyor, on the canals of New-York, for the year 1852.",1853,0,Ex libris William Jenkins,New York State,"Tan wraps, respects pasted to inside of cover, 15x22.5 cm, 200 pp.",Formerly J41
,"Haupt, Herman",Theory,A general account of the theories involved in bridge construction.,General theory of bridge construction: containing demonstrations of the principles of the art and their application to practice…,1853,0,,New York,"Brown cloth boards, gilt stamping on spine, script inside cover, 15.5x23.5 cm, illustrated, 16 plates, 268 pp.",Earlier edition. See #179
"Douglas, Howard","Douglas, Howard",Bridges,,An essay on the principles and construction of military bridges and the passage of rivers in military operations,1853,3rd,"Presentation copy to George R. Daniel, Royal Military College, May 1855",London,"Full leather boards, gilt title, 14x22 cm, [frontispiece][title], xx, 451 pgs, 14 folding plates, presentation label laid in on front pastedown flyleaf",
,"Andrews, Isreal D.","Trade, mapping",Maps to accompany the Andrews report on trade and commerce.,Maps andrews report,1853,0,,Canada,"Brown cloth boards, gold stamped, 15x24 cm, 3 folding maps.",
,"Andrews, Isreal D.","Trade, mapping",A report to the Senate on the full and complete statements of trade and commerce of the British North American colonies with the United States and other parts of the world.,"Communication from the secretary of the treasury, transmitting in compliance with a resolution of the senate of march 8, 1851, the report of isreal d. andrews, consul of the united states fro canada and new brunswick…",1853,0,,"Washington, D.C.","Brown cloth, 15 x 24 cm, [title][transmittal], xix, 906 pg, [errata]","Second copy, see C122"
,"Glynn, Joseph",Water power,The use and promotion of water as a power source.,"Rudimentary treatise on the power of water as applied to drive flour mills, and to give motion to turbines and other hydrostatic engines",1853,0,,London,"New red boards, gilted stamping spine, 11.5x18 cm, illustrated, 120 pp.",An appendix on centrifugal and rotary pumps.
,"Andrews, Isreal D.","Trade, mapping",Portofolio of 3 maps to accompany C789.1,"Communication from the secretary of the treasury, transmitting in compliance with a resolution of the senate of march 8, 1851, the report of isreal d. andrews, consul of the united states fro canada and new brunswick…",1853,0,,"Washington, D.C.","Brown cloth, 15.5x24 cm, 3 large folding maps","Two maps bound to front and rear covers, 1 loose; Second copy, see C122"
,"Canadian Institute, Council of the","Industry, science",,"The canadian journal. a repertory of industry, science, and art; and a record of the proceedings of the canadian institute.",1853,0,,Toronto,"Green Wraps, some pages uncut at top, 24.5x31.5 cm, 2 plates, 104 pp.",The November 1853 copy of the Canadian Journal.
,"Canada East, Government of",St. Maurice Bridge,The transfer of responsibility of three bridges at St. Maurice from the provincial to municipal mayor.,"Faits qui se rattachent a la vente des ponts st. maurice par le gouvernement de cette province a theophile hector pacaud, ecr.",1853,0,,"St. Maurice, Quebec","Blue wraps, embossed front cover, errata at back cover, 13.5x21.5 cm, 56 pp.",
"Delisle, Maurice",,Quebec Montreal Bytown,A pamphlet expressing the desire to have the St. Lawrence and Ottawa Grand Junction Railway Company build a terminus in downtown Montreal.,"Rail road between quebec, montreal, bytown, and georgian bay. great public demonstration. presentation by a. m. delisle of the petition of the citizens of montreal to the common council of montréal, praying for aid towards said rail road.",1853,0,,Montréal,"Plain wraps, 10.5x18 cm, 20 pp.",
,St. Lawrence and Ottawa Grand Junction,St. Lawrence and Ottawa Grand Junction,,Reports of the Directors and Chief Engineer of the St. Lawrence and Ottawa Grand Junction Railway Company,1853,0,,St. Lawrence,"Printed green wraps, folding map, 52 pg, folding table",
,"Mangon, Hervé.",Design,"Extraits D'un Rapport a M. Le Ministre de L'agriculture, du Commerce et des Travaux Publics. This text is the result of the author's examination of drainage in England and Ireland and his report to the French Government.",Études sur le drainage au point de vue pratique et administratif,1853,0,,Paris,"Tan wrap cover with wax paper protective cover, fragile, 14x22.75 cm, 396 pp., 10 folding maps inside back cover, writing and stamp on title page.",
,"Metcalf, Leonard and Harrison P. Eddy",Melbourne,The Committee was appointed to consider a system of sewerage and of water supply for the city of Melbourne.,"Report from the select committee on the sewerage of and supply of water for melbourne, together with minutes of evidence.",1853,0,,"Melbourne, Australia","Blue wrap cover (cover missing), spine damaged, 20x30.25 cm, 94 pp., 2 maps.",
,"Bazalgette, Joseph William and William Haywood",London Main Drainage,A report on the best course for the tunnel sewers proposed by the Great London Drainage Company.,"Report to the commissioners of metropolitan sewers and the commissioners of sewers for the city of london, upon the scheme of the great london drainage company",1853,0,,London,"Tan printed flexible wraps, 14x21 cm, 32 pp.",
,"Great Britain, Government of",Sewer Design,"Return of the names of officers and persons now employed by the Metropolitan Commissioners of Sewers; the offices they have held, and now hold, the salaries paid, the dates of appointment, and the duties discharged",Metropolitan commission of sewers.,1853,0,,London,"No cover, reduced version of cover on back, inscription on top front cover, 21.75x34 cm, 16 pp.",Box 4
,"Great Britain, Government of",Sewer Design,"Return of ""copies of any Reports which have been made by Mr. James Simpson or others, in reference to the Victoria Street Sewer.""",Metropolitan commission of sewers.,1853,0,,London,"No cover, reduced cover on back page, 21.5x34 cm, 10 pp.",Box 4
,"Great Britain, Government of",Sewer Design,Minutes of evidence heard before the Select Committee on the Great London Drainage Bill.,Minutes of evidence taken before the select committee on the great london drainage bill. (1853),1853,0,,London,"Blue wrap cover, identical covers front and back, back cover torn, 21.5x34 cm, 184 pp.",Box 3
,"Great Britain, Government of",Sewer Design,"Return with material from the dates 1843 to 1852. Contains rates made and levied, while the said district was under the control of the Metropolitan Commission of Sewers and the length, size and cost of new works with the full expenditures.",Metropolitan commission of sewers.,1853,0,,London,"No cover, reduced version of cover on back, front cover torn, 20.75x34.5 cm, 44 pp. all fold out charts.",Box 8
,"Great Britain, Government of",Victoria Street Sewer,"Return of ""Copies of any reports which have been made by Mr. James Simpson or others, in reference to the Victoria Street Sewer.""","Return of ""copies of any reports which have been made by mr. james simpson or others, in reference to the victoria street sewer.",1853,0,,London,"No cover, reduced version of cover on back, 21.5x34 cm, 10 pp.",
Bazalgette,"Great Britain, Government of",Sewer Design,"A copy of the reports of Mr. Bazalgette to the Metropolitan Commissioners of Sewers, relating to the Application, State and examination of tubular-pipe drains or sewers.",Metropolitan commission of sewers.,1853,0,,London,"No cover, binding failed, 22x34.5 cm, 20 pp., 2 maps, 11 diagrams, bound with: S54-39",
Bazalgette,"Great Britain, Government of",Sewer Design,Return of the amount of debt and liabilities due from the Metropolitan Commission of Sewers at the present time; the increase of the debt and liabilities in each year since the act of 1851…,Metropolitan commission of sewers.,1853,0,,London,"No cover, reduced version of cover on back, 21.75x34.5 cm, 6 pp.",Box 4
Bazalgette,"Great Britain, Government of",Sewer Design,"A return showing how much of the sums raised by the Commissioners, by rate, by loan, or otherwise, between the passing of the Metropolitan Sewers Amendment Act, 1851, and the present time, was expended in management in each year.",Metropolitan commission of sewers.,1853,0,,London,"No cover, reduced version of cover on back, single sheet of paper, 21.5x34.25 cm, 2 pp.",Box 4
,"New South Wales, Government of",Sydney,"An act to authorize the construction of water works for the City of Sydney with water from the Sydney Water Reserve. The act authorizes the resumption of land, borrowing of money and protection of the watercourse from diversion and pollution.",No. xxxv. an act for supplying the city of sydney and portions of the suburbs thereof with water.,1853,0,,Sydney,"Pale blue, binding failed, excerpt from larger volume, 21.5x32 cm, 6 pp.",
,"Trautwine, John C.",New Granada (Isthmian Canals),An early exporation of a canal route through what is now Panama.,"Rough notes of an exploration for an inter-oceanic canal route by way of the rivers Atrato and San Juan, in New Granada, South America",1854,0,Ex libris William Jenkins,New Granada,"Green embossed cloth boards, gilt on spine, script inside back cover, 15.5x23.5 cm, 3 plates, 3 folding maps, 100 pp.",
Lieut.-Col. Jebb,"Great Britain, Government of",Prisons,A report on the treatment and interment of prisons for the year 1853.,"Report on the discipline and management of the convict prisons, and disposal of convicts, 1853",1854,0,,London,"Blue printed wraps, front cover stamped, 15.5x24.5 cm, 7 plates, 162 pp.",
,"Richard, Georges Tom",Civil engineering,,"Aide-memoire general et alphabetique des ingenieurs, Deuxieme partie F - Z",1854,0,,Paris,"Quarter leather, green paper on boards, 15 x 23 cm, [half title][title], 721 to 1531 pgs",
,"Richard, Georges Tom",Civil engineering,,"Aide-memoire general et alphabetique des ingenieurs, Atlas",1854,0,,Paris,"Quarter leather, green paper on boards, 15 x 23 cm, [half title][title], 112 plates",
,Exhibition halls,Exhibition halls,,Tafeln zum Industrie-Ausstellungs-Bericht in München,1854,0,,Munich,"Watered silk, 41 x 27 cm, 15 folding plates",
,"Keefer, Thomas Coltrin",General survey,Two speeches; one of the city of Montreal and the other about the Ottawa River.,"""montreal:"" ""the ottawa:"" two lectures delivered before the mechanics institute of montreal, in january, 1853 and 1854.",1854,0,,"Montreal, The Ottawa River","New marble boards, taped spine, ownership embossing throughout,",
,"Andrews, Isreal D.",General,A report to the Senate on the full and complete statements of trade and commerce of the British North American colonies with the United States and other parts of the world.,"Communication from the secretary of the treasury, transmitting in compliance with a resolution of the senate of march 8, 1851, the report of isreal d. andrews, consul of the united states fro canada and new brunswick…",1854,0,,"Washington, D.C.","Full leather, 15.5x24 cm, errata, 926 pp.",
,"Dempsey, G. Drysdale",Sewerage design,A treatise examining the use of district collection of sewage versus a concentration or metropolitan collection scheme. It is argued that the district collection is an effective method for any town to drain and reuse waste in agriculture.,Rudimentary treatise on the drainage and sewage of towns and buildings.,1854,0,,London,"Red board cover, bindings failed, embossed stamp on title page, inside cover damaged, 216 pp., 12 pp. of advertisements.",
"Browne, D.J.","Browne, D.J.",Manure,,"The field book of manures; or, the American muck book",1854,0,Lake,New York,"Cloth cover, blind stamped, 14 x 20 cm, [title], xii, 422 pg, 2 pp. advertising.",
,"Great Britain, Government of",Westminster Bridge,The return addresses documentation about the New Westminster Bridge.,"Westminster Bridge: Return to an order of the Honourable the House of Commons, dated 9 May 1854; for copies ""of all correspondence, tenders, and contracts with reference to the building of Westminster Bridge",1854,0,,Westminster,"No cover, reduced cover on back, 22x34 cm, 26 pp.",
Ferdinand Reech,"Reech, Ferdinand",Steam engine,,Machine a air d'un nouveau systeme deduit d'une comparaison raisonnee des systemes de MM. Ericsson et Lemoine,1854,0,,Paris,"Printed wraps, 22.5 x 28 cm, uncut, [half title][title], viii, 88 pgs, 1 folding plate","presentation copy to Charles-Pierre-Mathieu Combes, with a detailed letter to same discussing the thermodynamics of different engines"
,"Richardson, Hugh",Toronto,Report on the preservation and improvement of the Toronto Harbour with a reward being offered for the three best reports.,Supplement to the canadian journal. reports on the improvement and preservation of toronto harbour. published by authority of the harbour commissioners.,1854,0,,Toronto,"Brown wraps, cover detached, damaged, attached diagrams, 24.5x31 cm, 3 folding diagrams, 40 pp.",
,"Canada East, Government of",Montreal Harbour,Information relative to the Montreal Harbour.,"Return to an address from the legislative assembly of the 22nd instant, for copy of certain correspondence relative to montréal harbour.",1854,0,,Montreal,"Cover missing, 17x24.5 cm, 70 pp.",
,"Chauchon, Joseph",Rive Nord,A study into a route for a rail line from Quebec to the junction of the St. Charles River and St. Lawrence River.,"Rapports de l'ingénieur-en-chef, sur l'étude du chemin de fer de la rive nord et des directeurs sur les ressources probables de ce chemin",1854,0,,Québec,"Orange wraps, 14x21.5 cm, 1 folding map, 52 pp.",
,"Canadian Institute, Council of the",Compendium,,"The canadian journal. a repertory of industry, science, and art; and a record of the proceedings of the canadian institute.",1854,0,,Toronto,"Green Wraps, some pages uncut at top, 25x31 cm, 96 pp.",The November 1854 copy of the Canadian Journal.
,"Great Britain, Government of",Sewer Design,Plans from the METROPOLIS DRAINAGE report. See S54-37.,Metropolis drainage. plans.,1854,0,,London,"No cover, 21.5x34.5 cm, contains 5 folding sheets of plans.",Box 4
,"Great Britain, Government of",Sewer Design,"Copies of any Reports and Communications made by the Board of Health to the Secretary of State for the Home Department, in reference to the Drainage of the Metropolis",Return: metropolis drainage.,1854,0,,London,"No cover, 21.5x34.5 cm, contains 5 folding sheets of plans.",Box 6
,"Great Britain, Government of",Sewer Design,"Reports from the engineers to the Metropolitan Sewers Commissioners, upon the sewage interception and main drainage of the districts north and south of the River Thames.",Metropolitan sewers.,1854,0,,London,"No cover, binding failed, 22x34.5 cm, 28 pp., 3 maps.",Box 4
,"Great Britain, Government of",Sewer Design,"Amount of Rates made and levied by the Commissioners of Sewers for the Tower Hamlets, on the several Parishes and Levels within the District or Borough of the Tower Hamlets, for each Year from the Year 1843 to the Year 1847, both inclusive:",Metropolitan commission of sewers.,1854,0,,London,"No cover, reduced version of cover on back with text, 21.5x34.5 cm, 20 pp.",Box 4
,"Great Britain, Government of",Sewer Design,"Copy of a letter addressed to the Secretary of State by the Metropolitan Sewers Commissioners, relative to the proposed Application by then of the Sum of £300,000, for the borrowing of which Powers are inserted in the New Sewers Bill.",Metropolitan commission of sewers.,1854,0,,London,"No cover, 21.25x34.25 cm, 2 pp., 1 sheet of paper.",Box 4
,"Great Britain, Government of",Sewer Design,"Returns ""of the Amount of Money authorised to be raised by the Metropolitan Commissioners of Sewers under Act 16 & 17 Vict. C. 125:"" "" Of the Amount that has been raised, and in what Manner it has been raised:""",Metropolitan commission of sewers.,1854,0,,London,"No cover, reduced version of cover on back with text, 21.5x34 cm, 8 pp.",Box 4
Bazalgette,"Great Britain, Government of",London Sewer estimates,"Returns ""of the amount of money authorised to be raised by the Metropolitan Commissioners of Sewers under Act 16 & 17 Vict. C. 125. Of the amount that has been raised, and in what manner …&tc.",Metropolitan commission of sewers.,1854,0,,London,"No cover, reduced version of cover on back with text, 21.5x34.5 cm, 8 pp.",
,"Metcalf, Leonard and Harrison P. Eddy",Williamstown,A report on securing a water supply for Williamstown. Includes chemical analysis of water.,"Williamstown water supply. report to the surveyor general, as to the supply of water to williamstown.",1854,0,,Williamstown,"Pale blue, 21.5x34 cm, 18 pp.",
"Gummere, John","Gummere, John",Surveying Theory,,"A treatise on surveying, containing the theory and practice: to which is prefixed a perspiciuous system of plane trigonometry, the whole clearly demonstrated and illustrated by a large number of appropriate examples, &tc.",1855,15th,ownership script inside cover,Philadelphia,"Full leather, 15x22.5 cm, illustrated, 8 pp. advertisements, 152 pp. Appendix, 290 pp.",
"Connolly, T.W.J.","Connolly, T.W.J.",Sappers and Miners,,"History of the Corps of Royal Sappers and Miners, Volume 1",1855,0,,NA,"Red cloth, 15 x 23 cm, viii, [text] [list] 368 pgs, 8 colour plates",
"Connolly, T.W.J.","Connolly, T.W.J.",Sappers and Miners,,"History of the Corps of Royal Sappers and Miners, Volume 2",1855,0,,NA,"Red cloth, 15 x 23 cm, viii, [title] [list] 324 pgs, 9 colour plates, advert 24 pgs",
,"Smith, R. Baird",Italy,"A report of a mission to examine the irrigation, under instructions of the Court of Directors of the East India Company, of northern Italian plains region.",Italian irrigation: being a report on the agricultural canals of Piedmont and Lombardy addressed to the honourable the court of directors of the East India Company. vol i: historical and descriptive,1855,0,,"Piedmont and Lombardy, Italy","Red cloth boards, gilt stamping, dust jacket, library embossing on title page, script in text, 15.5x23.5 cm, illustrated, 448 pp.","Second edition, both volumes."
,"Smith, R. Baird",Italy,,Italian irrigation: being a report on the agricultural canals of Piedmont and Lombardy addressed to the honourable the court of directors of the East India Company. vol ii: practical and legislative,1855,0,,"Piedmont and Lombardy, Italy","Red cloth boards, gilt stamping, dust jacket, library embossing on title page, script in text, 15.5x23.5 cm, 394 pp., drawing inside back cover.","Second edition, both volumes."
,"Law, Henry and S. Hughes",Road construction,A manual with guidelines for surveying and constructing roads.,"Rudiments of the art of constructing and repairing common roads. to which is prefixed, a general survey of the principle of metropolitan roads",1855,0,,London,"Green flexible boardsm title, laid on front, 11x18 cm, illustrated, 10 pp. advertisements, 148 pp.","S. Hughes authored ""A General Survey of the Principal Metropolitan Roads""."
,"Mahan, D. H.",Drafting,A textbook on the use of drawing instruments in technical drawing.,"Industrial drawing: comprising the description and uses of drawing instruments, the construction of plane figures, the projections and sections of geometrical solids; architectural elements, mechanism, and topographical drawing; &c.",1855,0,,New York,"Brown cloth boards, gilt stamped spine, script inside cover, 15.5x24 cm, 20 folding plates, 1 pp. advertisements, 172 pp.","2nd Edition, revised and corrected. For the use of academies and common school."
,"Clark, Daniel Kinnear",Machinery,,"Railway machinery: A treatise on the mechanical engineering of railways, embracing the principles and construction of rolling stock and fixed plant, in all departments",1855,0,,NA,"Green cloth box, 30 parts, 27 x 38 cm",In green cloth clamshell
,"Babinet, M.",Science,Lectures on various applied science topics,Etudes et Lectures sur les Sciences D/observation by leurs applications practiques,1855,0,,Paris,"volume 1, brown quarter leather, marbled boards, 11 x 16 cm, 221 pgs",Set of eight volumes
,"Francis, James B.",Theory,,"Lowell hydraulic experiments: Being a selection from experiments on hydraulic motors, on the flow of water over weirs, and in canals of uniform rectangular section and of short length made at Lowell Massachsetts",1855,0,,Lowell,"Quarter leather, marbelled boards, 26.5 x 33.5 cm, xi, 156 pgs, 15 plates",
,"Great Britain, Government of",London streets,,"Report from the select committee on Metropolitan Communications; together with the proceedings of the committee, minutes of evidence and appendix",1855,0,,London,"Half leather, paper wrapped boards, 22 x 34 cm, [title], xii, 204 pgs, 1 pp, 1 pp, 1 pp, [index iv, 37 pgs]",
,"McElroy, Samuel",Hamilton,The Samuel McElroy report on supplying the city of Hamilton with fresh water from Burlingotn Bay.,"Report on supplying the city of hamilton, c. w. with water from burlington bay",1855,0,,"Hamilton, Ontario","leather embossed boards, back missing, red leather inserton spine, gilted edges, 15x23 cm, 34 pp. numbered, 68 couting blanks.",
,Various,Royal Engineers,A compilation of articles related to works carried out by the Corps of Royal Engineers.,Papers on subjects connected with the duties of the corps of royal engineers. contruibuted by officers of the royal and east india company's engineers. new series. vol. iv.,1855,0,,London,"Original green cloth boards, new spine, gilted stamping, script inside cover, 17x26 cm, illustrated, 13 plates, 216 pp.",
,"Brett, Captain Wilford",Theory,"Figures (plates) not numbered consecutively, some figures not numbered",Hints on Bivouac & Camp Life!,1855,0,,Point Pleasant,"Three-quarter brown leather, marbled boards, 16 x 21 cm, [frontis], [title], [introduction,3 pps], [index, 2 pps], [illustration], 101 pgs, 26 plates (some folding)",
,"Keefer, Thomas Coltrin",Transportation,,Great Circle or Air Lines Illustrating the directness & capacity of the River St. Lawrence from Lake Erie to the Atlantic,1855,0,,Montreal,"86 x 60 cm, with Japannese paper backing",
Wm. Hamilton Merritt,"United Colonies of Canada, Government of the",Canada,"An inquiry into the Continental intercourse between Canada and Great Britain, the British North American colonies, the West India possessions, the United States, and other foreign countries.",Report on trade and commerce.,1855,0,,Québec,"Cover missing, 15.5x23.5 cm, 1 folding map attached to front, 42 pp.",
"Jarvis, John B., Mailffert, Raasloff","Jarvis, John B.",Caughnawaga Canal,A proposed canal between Lake Champlain and the St. Lawrence River.,"Return… of mr. jarvis' report relative to the survey of the proposed caughnawaga canal, and the amount of the cost of such survey as submitted by the said engineer",1855,0,,Québec,"Blue wraps, front cover missing, 16.5x26 cm, 1 folding chart, 76 pp. Copy 1.",
"Gerlach, Friedrich Wilhelm","Gerlach, Friedrich Wilhelm",Mechanics,,Anhang zu Gerlachs kleiner mechanischen Weisheit,1764,0,Previous owner signature; Kuhn,Vienna,"Full leather with gilt frame on cover, 11 x 17.5 cm, [title], 3 pps, 33 pgs, 8 pps, 3 folding plates",
"Geuss, Joachim Michael","Geuss, Joachim Michael","Mathematics, explosions",,Ausführliche Abhandlung der Minirkunst : erster theoretischer Theil,1776,0,Ingenieurcorpsets Bibliothek stamp; Kuhn,Copenhagen,"Half leather, marbled paper, 11 x 18 cm, [title], 14 pgs, 1 pp, 280 pgs, 3 folding tables, 4 folding plates",
"Huth, Johann Christian","Huth, Johann Christian",Drafting,,Kurzer und deutlicher Unterricht zu Zeichnung und Anlegung der Wohn und Landwithschaftsgebäude,1787,0,Ingenieurcorpsets Bibliothek; Kuhn,Halle,"Half leather, marbled paper, 18 x 21 cm, [title], xvi, 88 pgs, 38 folding plates",
"Lecchi, Antonio","Lecchi, Antonio",River Reno,,"Memorie idrostatico-storiche delle operazioni eseguite nell' in alveazione del Reno di Bologna, e degli altri minori torrenti per la linea di primaro al mare dall'anno 1765. fino al 1772",1773,0,Kuhn,Modena,"Carta rustica, 20 x 26 cm, volume 1: [title][dedication], xii, 301 pgs, 1 pp, [eratta], 1 folded plate; volume 2, [title], 2 pp, 195 pgs, 1 pp, [eratta]",
"Lecchi, Antonio","Lecchi, Antonio",Flow measurement,,Dissertazione idrostatica di partizione d'acque,1743,0,Kuhn,Milan,"Marbled paper wrap, 17 x 23 cm, [title], 3 pps, 47 pgs",
"Perelli, Tommaso","Perelli, Tommaso",Lake Trasimeno,,"Relazione del dott. Tommaso Perelli mattematico, ... sopra il lago Trasimeno scritta pel nobile uomo sig. conte Francesco Baglioni",1771,0,"ex libris, Giannalisa Feltrinelli; Kuhn",Florence,"Half leather, marbled paper, 18 x 24.5 cm, [title], xxx, 1 folding plate",
"Torelli, Giuseppe","Torelli, Giuseppe",Pumps,,De rota sub aquis circumacta epistola,1747,0,Bibliotheca Mechanica; Kuhn,Verona,"Marbled paper wrap, 10.5 x 18.5 cm, [title], 10 pgs, 1 folding plate, in brown cloth folder",
